"","LogDurationA","LogDurationW","Lemma","Participant","Cond","Exponent","Frequency"
"11431",-1.32449562055674,-0.476859304924787,"schab","Art_02_S01","slow","t",-6.98004403496286
"1",-1.35775733141475,-0.359550419592346,"blas","Art_02_S01","slow","n",-5.74075963524368
"136",-1.49642180471795,-0.270137213893838,"schlaf","Art_02_S01","slow","en",-4.67630164601676
"71",-1.28434025352176,-0.377347249999988,"lahm","Art_02_S01","slow","en",-6.26363838052402
"11581",-1.33151003054347,-0.447127119591341,"lahm","Art_02_S01","slow","t",-6.46936984733652
"33",-1.41399124320945,-0.260911471399549,"fahnd","Art_02_S01","slow","en",-6.14938581176987
"100",-1.28936514828353,-0.335978401838643,"mahn","Art_02_S01","slow","en",-5.81383154910887
"16957",-1.18398019848286,-0.408548823881003,"bahn","Art_02_S01","slow","t",-5.76271867920494
"127",-1.29333921162772,-0.466027478445253,"schad","Art_02_S01","slow","n",-4.99646665212101
"163",-1.47209853299249,-0.342476224538904,"wat","Art_02_S01","slow","n",-6.42783041627999
"218",-1.63544231917541,-0.36347459361641,"fahnd","Art_02_S01","fast","n",-6.14938581176987
"227",-1.450412385976,-0.597783605685493,"lahm","Art_02_S01","fast","en",-6.26363838052402
"197",-1.53448748916319,-0.415500292561298,"blas","Art_02_S01","fast","n",-5.74075963524368
"245",-1.52078890350999,-0.488787469967772,"mahn","Art_02_S01","fast","en",-5.81383154910887
"286",-1.32482342477665,-0.525992033814482,"schad","Art_02_S01","fast","n",-4.99646665212101
"299",-1.65153521463644,-0.429413850418519,"schlaf","Art_02_S01","fast","n",-4.67630164601676
"96981",-1.43712434905937,-0.769375184198676,"lahm","Art_02_S01","fast","t",-6.46936984733652
"99431",-1.39954038508306,-0.600750952561693,"schab","Art_02_S01","fast","t",-6.98004403496286
"312",-1.42051261535025,-0.609342680894656,"wat","Art_02_S01","fast","n",-6.42783041627999
"106971",-1.30813163503983,-0.68327088899291,"bahn","Art_02_S01","fast","t",-5.76271867920494
"415",-1.56064774826466,-0.223131051392334,"tafeln","Art_02_S01","slow","en",-6.96970320162464
"335",-1.23787435600162,-0.32183784820439,"bahn","Art_02_S01","slow","en",-5.79293123007552
"402",-1.60943791243412,-0.478019672040812,"latsch","Art_02_S01","slow","n",-6.73180479259076
"125942",-1.38431820127034,-0.462019586706663,"zahn","Art_02_S01","slow","t",-7.53739429132134
"364",-1.51125532257376,-0.274423687893558,"faseln","Art_02_S01","slow","en",-6.64144355246975
"447",-1.41226636062951,-0.472920396039263,"bahn","Art_02_S01","fast","en",-5.79293123007552
"483",-1.65428150891419,-0.510808957238204,"latsch","Art_02_S01","fast","n",-6.73180479259076
"471",-1.43165927245145,-0.337102411870839,"faseln","Art_02_S01","fast","en",-6.64144355246975
"501",-1.70808168323416,-0.415500292561298,"tafeln","Art_02_S01","fast","n",-6.96970320162464
"112443",-1.51187556983082,-0.527615793073454,"zahn","Art_02_S01","fast","t",-7.53739429132134
"591",-1.60552470977485,-0.198438743676247,"tadeln","Art_02_S01","slow","en",-6.2027657386056
"640",-1.44241919996976,-0.35516109267942,"zahn","Art_02_S01","slow","en",-7.59809213167495
"541",-1.13866768140045,-0.174341482453726,"schab","Art_02_S01","slow","en",-6.69772500301848
"533",-1.26388459076671,-0.342476224538924,"bad","Art_02_S01","slow","n",-5.41767949883663
"131522",-1.45791892992493,-0.223131051392316,"latsch","Art_02_S01","slow","t",-7.14324727166644
"152502",-1.53169958526881,-0.510808957238168,"zahl","Art_02_S01","slow","t",-4.75377031078047
"579",-1.71360553996896,-0.274423687893558,"stapeln","Art_02_S01","slow","en",-5.92048517895446
"161422",-1.35925227712506,-0.415500292561298,"blas","Art_02_S01","slow","t",-7.50118211866689
"610",-1.44538380954005,-0.371049188742226,"zahl","Art_02_S01","slow","en",-4.27548008148666
"186872",-1.3959114954922,-0.579800638269512,"mahn","Art_02_S01","slow","t",-5.54965032812455
"212302",-1.48226456058207,-0.430767531595398,"schlaf","Art_02_S01","slow","t",-6.75924304093769
"747",-1.65568869988659,-0.49427992850653,"schad","Art_02_S03","slow","en",-4.99646665212101
"699",-1.62671684424667,-0.478019672040801,"lahm","Art_02_S03","slow","en",-6.26363838052402
"667",-1.55000085008096,-0.371049188742216,"blas","Art_02_S03","slow","en",-5.74075963524368
"70119",-1.51363868298643,-0.562101374447765,"lahm","Art_02_S03","slow","t",-6.46936984733652
"718",-1.49218598079573,-0.43076753159542,"mahn","Art_02_S03","slow","en",-5.81383154910887
"766",-1.66075107831274,-0.328490178179574,"schlaf","Art_02_S03","slow","en",-4.67630164601676
"129893",-1.49443668762583,-0.478019672040801,"schab","Art_02_S03","slow","t",-6.98004403496286
"679",-1.64038186818942,-0.287668739207331,"fahnd","Art_02_S03","slow","en",-6.14938581176987
"182123",-1.52039217631062,-0.56210137444779,"bahn","Art_02_S03","slow","t",-5.76271867920494
"785",-1.59462144705628,-0.415500292561298,"wat","Art_02_S03","slow","en",-6.42783041627999
"98020",-1.78009645284072,-0.867476758464357,"bahn","Art_02_S03","fast","t",-5.76271867920494
"818",-1.8805673652541,-0.733948341963878,"fahnd","Art_02_S03","fast","n",-6.14938581176987
"798",-1.65593202535179,-0.597818819102725,"blas","Art_02_S03","fast","n",-5.74075963524368
"866",-1.84470309739435,-0.776507050604852,"mahn","Art_02_S03","fast","en",-5.81383154910887
"873",-1.73262158273546,-0.798485474242462,"schad","Art_02_S03","fast","n",-4.99646665212101
"49566",-2.05619546297242,-0.820957825055361,"lahm","Art_02_S03","fast","t",-6.46936984733652
"92926",-1.62286578306049,-0.755001307908627,"schab","Art_02_S03","fast","t",-6.98004403496286
"908",-1.76437992230763,-0.653907236822344,"wat","Art_02_S03","fast","n",-6.42783041627999
"891",-1.86845816071277,-0.527615793073454,"schlaf","Art_02_S03","fast","n",-4.67630164601676
"840",-1.71756893035961,-0.733948341963863,"lahm","Art_02_S03","fast","n",-6.26363838052402
"939",-1.79568579746683,-0.415500292561298,"faseln","Art_02_S03","slow","en",-6.64144355246975
